INDEX,GENERAL,CHOOSE,SPIN,总押注,rtp,rtp_check,base_rtp,base_ways_rtp,free_rtp,free_ways_rtp,总赢钱,Ways赢钱,BaseWays,FreeWays,Hit,Hit率,>5x,>10x,>20x,>50x,>100x,>1000x,触发Free,Free频率,Free次数,FreeSpin,Free重触发,Free平均次数,Free平均倍,main_win_times,main_win_rate,free_win_times,free_win_rate,ok,错误,status,FREE_GENERAL,连消0次,连消1次,连消2次,连消3次,连消4次,连消5次,连消6次,连消7次,连消8次,连消9次,连消10+次,base_main_cascade_counts_rtp
4,1,1,100000,1000000000,1.024084,1.024084,0.6426875,0.6426875,0.3813965,0.3813965,1024084000,1024084000,642687500,381396500,30107,0.30107,3320,1576,803,342,130,0,497,0.00497,13296,13296,57,26.75251509054326,76.7397384305835,29763,0.29763,4186,0.3148315282791817,True,,"{""base"": {""free"": 497, ""spin"": 100000, ""ways"": [29763, 642687500]}, ""bet"": 1000000000, ""free"": {""free"": 57, ""spin"": 13296, ""ways"": [4186, 381396500]}, ""free_times"": 13296, ""gt_1000x"": 0, ""gt_100x"": 130, ""gt_10x"": 1576, ""gt_20x"": 803, ""gt_50x"": 342, ""gt_5x"": 3320, ""hit"": 30107, ""wins"": 1024084000}",,,,,,,,,,,,,
4,2,1,100000,1000000000,1.01346,1.01346,0.636818,0.636818,0.376642,0.376642,1013460000,1013460000,636818000,376642000,30027,0.30027,3205,1534,760,343,135,0,460,0.0046,12720,12720,70,27.652173913043477,81.87869565217392,29703,0.29703,4104,0.32264150943396225,True,,"{""base"": {""free"": 460, ""spin"": 100000, ""ways"": [29703, 636818000]}, ""bet"": 1000000000, ""free"": {""free"": 70, ""spin"": 12720, ""ways"": [4104, 376642000]}, ""free_times"": 12720, ""gt_1000x"": 0, ""gt_100x"": 135, ""gt_10x"": 1534, ""gt_20x"": 760, ""gt_50x"": 343, ""gt_5x"": 3205, ""hit"": 30027, ""wins"": 1013460000}",,,,,,,,,,,,,
7,1,1,100000,1000000000,18.9959035,18.9959035,18.8284855,18.8284855,0.167418,0.167418,18995903500,18995903500,18828485500,167418000,100000,1.0,100000,84617,18568,1227,466,0,226,0.00226,5976,5976,23,26.442477876106196,74.0787610619469,100000,1.0,1848,0.3092369477911647,True,,"{""base"": {""free"": 226, ""spin"": 100000, ""ways"": [100000, 18828485500]}, ""bet"": 1000000000, ""free"": {""free"": 23, ""spin"": 5976, ""ways"": [1848, 167418000]}, ""free_times"": 5976, ""gt_1000x"": 0, ""gt_100x"": 466, ""gt_10x"": 84617, ""gt_20x"": 18568, ""gt_50x"": 1227, ""gt_5x"": 100000, ""hit"": 100000, ""wins"": 18995903500}",,,,,,,,,,,,,
7,2,1,100000,1000000000,18.991345499999998,18.9913455,18.8395105,18.8395105,0.151835,0.151835,18991345500,18991345500,18839510500,151835000,100000,1.0,100000,84352,18523,1295,467,0,207,0.00207,5664,5664,29,27.36231884057971,73.35024154589372,100000,1.0,1778,0.3139124293785311,True,,"{""base"": {""free"": 207, ""spin"": 100000, ""ways"": [100000, 18839510500]}, ""bet"": 1000000000, ""free"": {""free"": 29, ""spin"": 5664, ""ways"": [1778, 151835000]}, ""free_times"": 5664, ""gt_1000x"": 0, ""gt_100x"": 467, ""gt_10x"": 84352, ""gt_20x"": 18523, ""gt_50x"": 1295, ""gt_5x"": 100000, ""hit"": 100000, ""wins"": 18991345500}",,,,,,,,,,,,,
8,1,1,100000,1000000000,64.81759,64.81759,0.5293525,0.5293525,64.2882375,64.2882375,64817590000,64817590000,529352500,64288237500,100000,1.0,99611,97971,90244,54096,17409,0,100000,1.0,2452824,2452824,2201,24.52824,64.2882375,100000,1.0,794923,0.3240848099985975,True,,"{""base"": {""free"": 100000, ""spin"": 100000, ""ways"": [100000, 529352500]}, ""bet"": 1000000000, ""free"": {""free"": 2201, ""spin"": 2452824, ""ways"": [794923, 64288237500]}, ""free_times"": 2452824, ""gt_1000x"": 0, ""gt_100x"": 17409, ""gt_10x"": 97971, ""gt_20x"": 90244, ""gt_50x"": 54096, ""gt_5x"": 99611, ""hit"": 100000, ""wins"": 64817590000}",,,,,,,,,,,,,
8,2,1,100000,1000000000,65.44505,65.44505,0.530441,0.530441,64.914609,64.914609,65445050000,65445050000,530441000,64914609000,100000,1.0,99330,97003,87766,52032,18508,0,100000,1.0,2781432,2781432,15893,27.81432,64.914609,100000,1.0,839852,0.30194949939455645,True,,"{""base"": {""free"": 100000, ""spin"": 100000, ""ways"": [100000, 530441000]}, ""bet"": 1000000000, ""free"": {""free"": 15893, ""spin"": 2781432, ""ways"": [839852, 64914609000]}, ""free_times"": 2781432, ""gt_1000x"": 0, ""gt_100x"": 18508, ""gt_10x"": 97003, ""gt_20x"": 87766, ""gt_50x"": 52032, ""gt_5x"": 99330, ""hit"": 100000, ""wins"": 65445050000}",,,,,,,,,,,,,
12,1,1,100000,1000000000,0.3786925,0.3786925,0.3786925,0.3786925,0.0,0.0,378692500,378692500,378692500,0,26569,0.26569,1246,336,52,3,1,0,0,0.0,0,0,0,0,0,26569,0.26569,0,0,True,,"{""base"": {""free"": 0, ""spin"": 100000, ""ways"": [26569, 378692500]}, ""bet"": 1000000000, ""free"": {""free"": 0, ""spin"": 0, ""ways"": [0, 0]}, ""free_times"": 0, ""gt_1000x"": 0, ""gt_100x"": 1, ""gt_10x"": 336, ""gt_20x"": 52, ""gt_50x"": 3, ""gt_5x"": 1246, ""hit"": 26569, ""wins"": 378692500}",,,,,,,,,,,,,
12,2,1,100000,1000000000,0.3768425,0.3768425,0.3768425,0.3768425,0.0,0.0,376842500,376842500,376842500,0,26153,0.26153,1238,323,72,3,0,0,0,0.0,0,0,0,0,0,26153,0.26153,0,0,True,,"{""base"": {""free"": 0, ""spin"": 100000, ""ways"": [26153, 376842500]}, ""bet"": 1000000000, ""free"": {""free"": 0, ""spin"": 0, ""ways"": [0, 0]}, ""free_times"": 0, ""gt_1000x"": 0, ""gt_100x"": 0, ""gt_10x"": 323, ""gt_20x"": 72, ""gt_50x"": 3, ""gt_5x"": 1238, ""hit"": 26153, ""wins"": 376842500}",,,,,,,,,,,,,
17,1,1,100000,1000000000,60.652441,60.652441,0.0,0.0,60.652441,60.652441,60652441000,60652441000,0,60652441000,99987,0.99987,99402,97246,87514,48473,15103,0,100000,1.0,2691312,2691312,12138,26.91312,60.652441,0,0.0,855848,0.3180040069676054,True,,"{""base"": {""free"": 100000, ""spin"": 100000, ""ways"": [0, 0]}, ""bet"": 1000000000, ""free"": {""free"": 12138, ""spin"": 2691312, ""ways"": [855848, 60652441000]}, ""free_times"": 2691312, ""gt_1000x"": 0, ""gt_100x"": 15103, ""gt_10x"": 97246, ""gt_20x"": 87514, ""gt_50x"": 48473, ""gt_5x"": 99402, ""hit"": 99987, ""wins"": 60652441000}",,,,,,,,,,,,,
17,2,1,100000,1000000000,62.200426,62.200426,0.0,0.0,62.200426,62.200426,62200426000,62200426000,0,62200426000,99995,0.99995,99601,97822,89080,50441,15731,0,100000,1.0,2703504,2703504,12646,27.03504,62.200426,0,0.0,947844,0.35059833460575607,True,,"{""base"": {""free"": 100000, ""spin"": 100000, ""ways"": [0, 0]}, ""bet"": 1000000000, ""free"": {""free"": 12646, ""spin"": 2703504, ""ways"": [947844, 62200426000]}, ""free_times"": 2703504, ""gt_1000x"": 0, ""gt_100x"": 15731, ""gt_10x"": 97822, ""gt_20x"": 89080, ""gt_50x"": 50441, ""gt_5x"": 99601, ""hit"": 99995, ""wins"": 62200426000}",,,,,,,,,,,,,
